chroma_mean,chroma_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zcr_mean,zcr_std,harmonic_mean,harmonic_std,percussive_mean,percussive_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,filename,label
0.3025063,0.34850085,1699.3920779554874,1521.9724791892181,1278.9951619338635,951.1400564218047,3024.9743852459014,2585.06765915913,0.1260165855532787,0.13285635023125844,-1.5179672e-05,0.03402557,-5.1977763e-06,0.07917448,-384.3367,192.15717,32.555264,46.097935,-7.192237,32.3452,9.000561,22.875074,-6.6252403,18.216082,-4.840743,11.568177,-6.5337205,12.300425,-5.366493,13.018263,-3.0861518,10.08646,-4.860478,10.151501,-0.11410373,8.922877,-5.088552,14.736,3.5494533,10.185845,-2.4499075,7.3324537,-3.5732784,6.9070644,0.06627461,3.5139282,-5.2979465,9.635138,-0.18032219,5.9846005,-4.675806,9.312438,0.775364,5.1570873,fake\deepfake_edge\Deepfake_Edge_C01.wav,fake
0.31073177,0.34787813,1774.8574079157618,1562.5564896938818,1265.1746803540748,938.2456785740715,3067.49487704918,2558.1343669171774,0.1347256019467213,0.12940292207783957,-1.9415435e-05,0.028134042,-6.614248e-05,0.08639064,-385.27515,198.8287,29.17604,39.782448,-13.242154,37.4194,4.8286085,17.974873,-5.584702,15.697641,-5.379277,11.269824,-2.2340033,10.210727,-0.27212563,12.18484,-2.586746,8.443847,-2.837418,10.51803,-1.7169061,7.716957,-2.6461735,14.371232,-0.40200835,7.6759334,-2.7637775,7.5341096,-4.1258173,8.997835,0.68582374,5.44313,-6.409983,10.810953,1.3971441,4.834648,0.096053764,6.809157,4.077255,11.238484,fake\deepfake_edge\Deepfake_Edge_C02.wav,fake
0.27754295,0.35233492,1404.838378005708,1375.506348836343,1208.1240597587223,917.4750073657812,2621.285860655738,2409.369404680279,0.10311539446721311,0.12558243273243122,-1.8327124e-05,0.072362356,-6.0938937e-06,0.056226168,-386.32828,172.97276,36.601795,45.306534,0.32078576,20.240026,14.987137,31.575945,-8.3983555,22.565413,-1.6104964,13.217019,-2.4544885,9.494892,-8.7075615,13.662447,-6.1601048,13.926728,-8.888158,15.090209,0.4687725,6.0011506,-8.944077,13.767597,0.727249,7.8515687,-2.9148436,7.391067,-4.922142,7.7113557,2.6385603,5.23918,-7.449177,9.740609,-0.16963829,4.3143353,-5.415071,7.376881,-2.9634807,4.64717,fake\deepfake_edge\Deepfake_Edge_C03.wav,fake
0.29324037,0.33828127,1874.589987875705,1427.2112720367682,1473.9259032150342,851.7900926687615,3426.8973214285716,2350.4004550940767,0.14790271577380953,0.15507491652221903,1.7780842e-05,0.06968407,4.391369e-06,0.060876418,-324.8352,175.88754,38.603146,43.675957,-5.830015,34.364956,17.257362,30.57968,-7.331181,24.207645,-5.5824704,15.801269,-5.328761,11.754137,-5.7750497,14.706344,-6.1160736,12.49026,-6.156132,11.89769,-2.8499098,10.05504,-5.414303,14.089599,1.0231512,8.5443535,-3.273416,6.917526,-3.6210957,8.308098,0.72265315,6.72396,-7.5906286,8.826904,0.74560916,5.6267853,-7.202809,9.272556,-1.587477,7.013362,fake\deepfake_edge\Deepfake_Edge_C04.wav,fake
0.29323366,0.32917497,1923.9970653259088,1330.3324364577315,1529.5374764563303,733.2852508330549,3493.685787671233,2138.531473617559,0.1565543396832192,0.15494303380498126,9.05531e-06,0.06443647,-2.7970411e-06,0.05877634,-269.37115,164.48471,50.354668,48.752007,-8.698471,40.66572,26.82371,29.284065,-5.181403,21.682665,-10.773047,16.051184,-8.934949,17.569653,-6.8636303,14.358434,-7.8088865,14.382686,-11.79946,12.6093445,-2.7823465,10.388144,-7.946125,12.155259,-0.59568,8.394798,-4.606905,9.148047,-5.048016,8.347736,-0.60274863,5.4262204,-9.173674,9.221101,-1.338883,7.4010425,-6.0137677,8.22183,-3.291819,6.4686337,fake\deepfake_edge\Deepfake_Edge_C05.wav,fake
0.26514983,0.33522788,1575.654878374298,1253.2928558835376,1333.4840786813497,869.4068985123106,2944.0257352941176,2308.074949189221,0.10651424632352942,0.10536825748378122,-1.0939771e-05,0.076461375,-2.22806e-05,0.052137375,-318.04956,183.13467,46.32579,43.67948,-14.560863,38.04595,12.961102,27.084902,-8.030122,18.730095,-4.1852484,13.075135,-3.6471756,9.863201,-9.365379,13.434774,-4.1670656,11.500952,-6.5271974,9.881368,-4.0279694,6.6564126,-6.9989805,11.833292,-2.0425427,9.09843,-6.91093,7.929384,-5.4032965,8.154821,-0.7042337,6.170475,-10.234537,10.147529,0.91015637,4.4855156,-7.9052467,8.64104,-3.303611,5.7372737,fake\deepfake_edge\Deepfake_Edge_C06.wav,fake
0.28518268,0.33987844,1634.798359187462,1221.334008362835,1383.2356625851544,835.8576253633063,3043.719951923077,2212.1378193830215,0.11037660256410256,0.1059886409843579,-2.0547575e-05,0.06610601,-3.171255e-05,0.06193825,-327.3294,172.75447,42.740246,41.812458,-10.73058,35.516685,16.589212,28.588894,-10.192109,18.081272,-6.4995313,14.904119,-4.6109085,13.806427,-7.453926,14.826698,-3.7320495,12.899039,-5.651963,11.569709,-0.35252258,7.996348,-7.4516006,13.364105,0.5154527,9.344249,-4.226978,7.0618834,-5.824431,7.189188,-0.8064837,5.0480504,-9.044104,10.139964,0.8103233,5.523663,-6.23432,9.839798,-1.309847,7.8334203,fake\deepfake_edge\Deepfake_Edge_C07.wav,fake
0.2782321,0.32659867,1814.6106119434191,1374.7335634320953,1496.3418472553108,731.2121896081616,3230.838260135135,2209.0976398967987,0.14852327913851351,0.15970230613574254,1.2322927e-05,0.061834577,-6.5181703e-06,0.06859339,-278.89844,170.19322,59.196968,50.593487,-7.7496133,40.95313,16.870758,30.241547,-9.15134,26.613272,-7.314128,16.286654,-7.955729,16.924633,-8.644349,14.389893,-8.303979,13.997166,-11.221497,13.514578,-3.7341914,9.322872,-7.926903,13.933156,1.5994593,8.926038,-5.7874913,9.434743,-4.6329575,7.828882,2.1643264,7.9844236,-8.982988,9.645433,-1.2375841,9.190195,-4.4349556,10.627479,-3.4369547,10.9935465,fake\deepfake_edge\Deepfake_Edge_C08.wav,fake
0.29296482,0.34390026,1755.3614292630848,1348.9234093261023,1463.5643862719012,860.202484586316,3270.4326923076924,2386.9036351668,0.13977845321745563,0.1346178527110676,-6.896803e-06,0.06699361,-2.8870929e-05,0.060261134,-315.66858,171.17036,42.748215,49.65702,-1.6724507,35.19899,18.405256,30.288298,-4.8301263,21.15449,-6.84939,18.07507,-8.735267,13.080049,-6.0761533,14.04833,-8.074584,12.733622,-10.802647,13.194666,-3.209424,9.730287,-6.9743233,11.230614,1.0728174,8.186605,-4.3417397,9.780624,-4.2295303,7.1313043,0.94158196,7.2521157,-9.147127,9.555488,0.9415204,7.39841,-3.954012,10.199762,-0.7637945,15.181045,fake\deepfake_edge\Deepfake_Edge_C09.wav,fake
0.31541687,0.34802243,1976.30531526918,1572.930229379287,1406.8958471741155,898.656243371126,3484.1772151898736,2521.2717989773873,0.16555824762658228,0.16122316399698283,4.9475498e-06,0.050854586,-3.479167e-06,0.078649044,-347.84702,205.74266,35.806183,46.21433,-15.354452,44.642982,-1.607975,16.700636,-4.2955375,19.801277,-1.2134444,14.395519,-8.197589,15.682928,-3.0837548,15.905286,1.3297662,8.11707,-2.3691769,9.373139,-3.1212153,10.304355,-3.201825,10.753098,-3.6392512,7.5925426,-5.6066036,8.550243,-5.7478123,9.554756,-1.3249727,5.2138925,-4.941409,7.5371003,2.3971817,7.9962897,-1.1353512,14.011788,0.34572014,11.7815275,fake\deepfake_edge\Deepfake_Edge_C10.wav,fake
0.2607284,0.3313434,1551.0457276212203,1273.8975024253764,1359.3321547512337,922.4555147335016,3016.258445945946,2384.2560968086827,0.12837177998310811,0.1378224991078224,-1.00619245e-05,0.058415126,-2.9324947e-05,0.07104883,-364.29138,210.70787,41.435387,39.874382,-5.137572,41.479877,21.087536,29.789106,-5.4954576,16.71431,-8.879321,16.134382,-2.680338,12.647248,-4.5831184,11.928827,-7.6885576,12.436858,-9.397396,12.684291,-2.3033118,8.0126705,-6.1542044,7.397852,-1.3393987,8.524856,-4.6043973,7.846306,-4.6102633,7.033902,-0.28473005,5.0999236,-10.24583,10.018844,-0.37243095,6.2535996,-6.468971,7.7045317,-3.90775,6.3044624,fake\deepfake_edge\Deepfake_Edge_C11.wav,fake
0.30165732,0.33844236,1789.708782758231,1455.6657972344267,1399.9366372662969,824.6128851326513,3143.028846153846,2322.1918588668937,0.14380151098901098,0.1443613207092994,2.7501661e-05,0.044850178,-9.289785e-06,0.0712445,-325.83823,184.28215,48.763813,47.762684,-10.973858,34.20396,10.107688,28.951199,-7.394176,20.821596,-5.8145094,13.44587,-3.4223704,11.908725,-11.714732,17.237154,-2.6860743,13.754798,-5.036091,10.566118,-1.6200379,8.978142,-7.321339,12.769981,1.8292484,7.9552274,-6.219224,9.013218,-4.6556125,7.4907312,-0.6273225,6.18278,-9.509444,9.940776,0.56381756,5.302127,-4.923936,10.314024,1.4012537,14.136552,fake\deepfake_edge\Deepfake_Edge_C12.wav,fake
0.25181496,0.3238145,1905.0936426875005,1573.7532222978973,1462.8808569090786,905.2247268659931,3448.918269230769,2524.2270010692146,0.15664169814560439,0.16543771213774847,-1.9068428e-05,0.05732597,-2.3085366e-05,0.070397235,-338.63965,191.42804,38.12513,43.16176,-4.841415,37.818703,14.795654,25.51837,-4.7547297,20.703348,-9.18886,15.528873,-3.7546294,12.042037,-6.869173,17.304138,-5.889662,14.908427,-9.427564,13.369972,-1.2466226,8.378006,-4.325121,12.001225,-1.7517709,8.873754,-4.1802697,9.351264,-4.970156,8.570286,0.6376691,6.8954864,-10.842862,10.323254,2.1371126,5.809939,-5.1269183,12.888833,-1.1837713,15.046178,fake\deepfake_edge\Deepfake_Edge_C13.wav,fake
0.29765576,0.33450538,1476.5782916851501,1120.5982811324795,1237.023430851341,789.6256458753471,2633.0882352941176,2105.5266662539434,0.10778952205882353,0.10378609989353396,-9.580362e-06,0.047144726,4.880255e-06,0.079856925,-334.5245,209.46463,54.882584,51.83565,-25.861908,41.5354,9.243511,24.675459,-11.675998,19.11516,-2.0549953,15.964607,-2.661978,14.810399,-7.693552,14.389649,-2.8463411,11.623732,-8.379655,13.6234665,-3.146265,9.348861,-5.373382,11.644855,-2.6625001,8.2258215,-3.9731035,7.84293,-7.340599,9.0241995,-1.1825522,6.6373115,-9.598597,11.0114975,2.2006953,9.025749,-4.977487,11.046154,3.6529255,16.67965,fake\deepfake_edge\Deepfake_Edge_C14.wav,fake
0.26744464,0.33843875,1452.5017653945051,1278.1951200641888,1282.7242437785837,876.8771072927575,2826.875,2353.480855120064,0.10406901041666666,0.11275409213823764,-2.4209025e-05,0.05110204,-1.6649665e-05,0.075094044,-355.48996,205.18762,50.20414,49.729195,-10.073304,36.358112,10.445697,20.290956,-5.6772275,19.775723,-6.1666074,18.109324,-10.362033,13.102187,-2.2780266,12.64812,-5.390724,12.953531,-8.730745,12.138634,-6.1282215,8.876064,-6.031272,9.794085,-3.9614575,9.465094,-9.020448,10.637932,-4.133473,7.3921757,-2.3882747,6.9007816,-9.242467,10.383496,2.2439697,5.9619236,-6.936017,10.580054,-2.8722124,10.233956,fake\deepfake_edge\Deepfake_Edge_C15.wav,fake
0.3443008,0.34774566,1621.4842985698897,1247.5404959998104,1301.3077300788764,815.425117580979,2965.4555722891564,2206.134365517447,0.12976515436746988,0.12429289204851082,3.0413587e-05,0.05304056,-8.518832e-06,0.07564841,-340.7735,200.01926,44.519814,49.924023,-19.990599,39.21014,9.66819,29.44913,-9.589047,17.308414,-2.3426433,12.607336,-0.899922,12.077711,-5.2515364,11.2143,-2.838102,12.639539,-3.6903367,10.178513,-2.090721,8.2092905,-9.400644,14.131693,0.28930232,9.243157,-0.78400797,6.5834384,-5.5098267,7.616066,1.597145,6.0606437,-6.609367,8.334903,-1.2673106,6.6905284,-1.848824,9.430552,0.3197555,10.32169,fake\deepfake_edge\Deepfake_Edge_C16.wav,fake
0.39984763,0.32801497,2378.3708807133644,1235.979633738469,1846.330188666733,424.721613071405,4228.75,2104.4218698374143,0.173291015625,0.1301008599835648,-1.3183297e-05,0.020713663,-5.025461e-05,0.09086327,-298.8477,184.60654,50.070972,61.20328,-5.2548933,25.905542,7.4757843,36.620842,-0.90092117,20.563517,-5.2002788,19.444408,-10.884277,16.165375,-15.219427,16.433891,-21.771446,18.562748,-6.807634,11.349382,-8.118606,8.940665,-0.78935075,11.5885315,-6.7902083,11.177481,-0.18151326,9.513534,-3.6251516,11.940692,-8.763488,11.296426,-3.4749491,8.498464,-3.795866,9.5531225,-6.3176866,7.94814,-2.8221302,11.912488,fake\deepfake_gemini\deepfake_geminiS01.wav,fake
0.47797528,0.32748082,2471.6579210532536,1215.056857075288,2111.284822542093,541.4958716865522,4766.64402173913,2201.797588501705,0.17442255434782608,0.16807948746221,-3.2644286e-05,0.03777782,-9.937012e-06,0.0772165,-252.12065,176.07722,62.38098,51.274845,4.6188,27.755024,3.590481,23.721342,12.574046,20.48492,-8.096665,17.900032,-1.977631,13.38488,-9.764593,15.225992,-3.6847577,16.912971,0.4560829,17.881615,3.521253,8.457494,4.639941,7.450755,-6.753388,11.846812,9.168034,6.425786,-0.0593966,9.6719055,-1.3992813,9.338824,3.3922594,6.0148463,-4.3228273,10.5816765,-0.93781066,8.793935,1.3898172,5.799764,fake\deepfake_gemini\deepfake_geminiS02.wav,fake
0.38580245,0.33104885,2043.6062474031223,1075.784502812638,2101.1955218421417,396.9062481189291,4256.882440476191,1817.5883029616314,0.13426571800595238,0.10879155919356069,-3.852155e-05,0.036609404,-0.00032643392,0.08459656,-291.47348,168.94446,65.8954,47.47988,23.217985,20.888594,12.665109,21.752192,2.244052,26.872751,-3.6799328,15.632597,5.0786676,12.082085,-26.855001,14.882093,-15.063601,13.525559,-17.633305,14.216184,-15.424696,16.686798,6.0568123,6.6410623,-14.062242,13.775447,-6.9187765,10.3753605,9.679114,10.445527,-8.897344,7.841424,-4.4766726,8.149188,1.4090412,5.4225044,-8.080831,7.4230695,-6.198678,6.9526253,fake\deepfake_gemini\deepfake_geminiS03.wav,fake
0.3710345,0.32909036,1907.9597684290256,1259.2719383296953,1713.0731761237853,582.8727888342022,3483.1957547169814,2217.0782863503646,0.1399478552476415,0.12613837217984447,-1.2249711e-05,0.037194315,-2.9453564e-05,0.080116495,-270.119,138.92058,73.5726,60.63772,4.5933437,33.34268,9.010908,28.22044,11.170764,19.937206,-1.5507755,20.70385,-14.586647,20.050282,-27.613794,21.86998,-20.856226,17.234676,-19.019012,17.269617,-10.831582,11.536257,-6.2260413,11.547145,-9.0521,14.47233,-1.1234846,9.573608,-5.3768563,9.129741,-6.3698907,8.703104,-6.45864,9.111279,-2.424899,6.5643063,-8.97928,10.033464,-4.9386587,8.041656,fake\deepfake_gemini\deepfake_geminiS04.wav,fake
0.35373202,0.31939352,2117.5151421283454,1374.1079962154124,1833.2194886142508,512.6146495256553,3810.5064655172414,2248.3940440460938,0.16977707435344827,0.17588593854239595,-1.079575e-05,0.04363054,6.841946e-05,0.074706435,-225.02266,120.94671,69.691895,57.905144,-1.5878026,30.86924,7.7829623,33.871284,15.841847,19.269384,-9.22604,17.957748,-7.903056,12.324599,-26.793385,22.724236,-18.698694,14.150293,-17.009739,15.300463,-0.13034573,12.678141,-5.3288126,12.419798,-8.431116,12.385845,-2.5693038,8.844763,-2.6627266,9.237006,-3.0564082,9.130454,-6.643811,9.916315,-1.8115443,8.690611,-9.785791,7.4824176,-7.0585785,7.8491793,fake\deepfake_gemini\deepfake_geminiS05.wav,fake
0.34995827,0.34059256,1824.612607207471,1230.5428039006354,1756.0907052080754,721.250193858923,3551.3698630136987,2261.4240242323312,0.1250535102739726,0.12013123208293233,-2.9525816e-05,0.047378127,-3.5318353e-05,0.07813321,-287.0876,154.31175,66.21655,58.220764,10.416226,33.940655,7.8436055,30.42514,-4.473911,20.345415,-7.0258245,11.7137785,-7.068881,14.425398,-25.966265,19.42052,-17.37779,14.484177,-10.208568,13.408956,-6.20872,11.034288,-4.8038664,9.543515,-14.5525255,13.54243,-3.7955976,10.562186,-11.478453,8.258232,-10.1060705,9.325365,-6.4579926,8.9489765,-6.5630417,6.678412,-8.116809,7.258417,-3.8097734,7.1414576,fake\deepfake_gemini\deepfake_geminiS06.wav,fake
